sepal_length,sepal_width,petal_length,petal_width,cluster,u0,u1,u2
6.5,3.0,5.8,2.2,0.0,0.9999999998686652,7.501461650454013e-11,-2.2361795192619283e-10
7.6,3.0,6.6,2.1,0.0,1.0000000000618643,-1.1429093476593515e-10,-2.2642052063466076e-10
4.9,2.5,4.5,1.7,1.0,1.0299104017091475e-10,0.999999999795396,-1.7720673946389314e-10
7.3,2.9,6.3,1.8,0.0,1.0000000000077789,-6.08446738648042e-11,-2.2636665894808046e-10
6.7,2.5,5.8,1.8,0.0,0.999999999817476,1.2604093290025008e-10,-2.2331950049127283e-10
7.2,3.6,6.1,2.5,0.0,1.0000000000293423,-8.226455167977763e-11,-2.2639815074108982e-10
6.5,3.2,5.1,2.0,0.0,0.9999999994153184,5.179945661761473e-10,-2.1316527529833183e-10
6.4,2.7,5.3,1.9,0.0,0.999999999380601,5.557928487495734e-10,-2.16256987638572e-10
6.8,3.0,5.5,2.1,0.0,0.9999999998239024,1.1785763951996308e-10,-2.2177181009924055e-10
5.7,2.5,5.0,2.0,1.0,6.736879314958327e-09,0.9999999931895066,-2.0523567760964722e-10
5.8,2.8,5.1,2.4,0.0,0.9999999981714344,1.760720842358831e-09,-2.1141923022627527e-10
6.4,3.2,5.3,2.3,0.0,0.999999999671816,2.6649749564553606e-10,-2.1816419529404143e-10
6.5,3.0,5.5,1.8,0.0,0.9999999996598408,2.7901224207615696e-10,-2.1882977511811655e-10
7.7,3.8,6.7,2.2,0.0,1.000000000083556,-1.3539065944998282e-10,-2.263604163297616e-10
7.7,2.6,6.9,2.3,0.0,1.000000000083401,-1.3474033022585064e-10,-2.2678947068926367e-10
6.0,2.2,5.0,1.5,1.0,2.4825026060856427e-09,0.9999999974429644,-2.0440700950072807e-10
6.9,3.2,5.7,2.3,0.0,0.999999999927528,1.6794446981051818e-11,-2.2423274748471383e-10
5.6,2.8,4.9,2.0,1.0,2.5672302937272803e-09,0.9999999973542844,-2.0045760483647557e-10
7.7,2.8,6.7,2.0,0.0,1.000000000066571,-1.1876802249904158e-10,-2.263759367369627e-10
6.3,2.7,4.9,1.8,0.0,0.9999999923897368,7.53567027217702e-09,-2.0498407325520917e-10
6.7,3.3,5.7,2.1,0.0,0.999999999881452,6.153037113462683e-11,-2.2293935760540823e-10
7.2,3.2,6.0,1.8,0.0,0.9999999999704742,-2.4830613508089062e-11,-2.2535146642077539e-10
6.2,2.8,4.8,1.8,1.0,0.0029607944475575,0.997039205473684,-2.0033483207457958e-10
6.1,3.0,4.9,1.8,0.0,0.9999992558733338,7.440483440059379e-07,-2.0119280556410064e-10
6.4,2.8,5.6,2.1,0.0,0.9999999997374358,2.03927206766251e-10,-2.2129641480648126e-10
7.2,3.0,5.8,1.6,0.0,0.9999999999114306,3.2695918381022606e-11,-2.2386814152183462e-10
7.4,2.8,6.1,1.9,0.0,0.9999999999960252,-4.9350756794383664e-11,-2.2618295539977682e-10
7.9,3.8,6.4,2.0,0.0,1.0000000000702278,-1.2196540013785244e-10,-2.265815684228384e-10
6.4,2.8,5.6,2.2,0.0,0.9999999997604262,1.8138972712283964e-10,-2.2172979946694303e-10
6.3,2.8,5.1,1.5,0.0,0.9999999967068997,3.2203276673469596e-09,-2.0684791459056923e-10
6.1,2.6,5.6,1.4,0.0,0.9999999990357548,9.005399788900848e-10,-2.157729681861735e-10
7.7,3.0,6.1,2.3,0.0,1.000000000038468,-9.109481808449789e-11,-2.265423307627332e-10
6.3,3.4,5.6,2.4,0.0,0.9999999998226766,1.1918129862672451e-10,-2.2158968760159503e-10
6.4,3.1,5.5,1.8,0.0,0.9999999996280076,3.1015912197808735e-10,-2.1810820652970195e-10
6.0,3.0,4.8,1.8,1.0,8.975723256990555e-09,0.9999999909425606,-1.974024446644421e-10
6.9,3.1,5.4,2.1,0.0,0.999999999819866,1.2122882613209067e-10,-2.2107097629429611e-10
6.7,3.1,5.6,2.4,0.0,0.999999999882244,6.115381471559844e-11,-2.2331651501631802e-10
6.9,3.1,5.1,2.3,0.0,0.9999999997357824,2.0281707858618592e-10,-2.1841080791352548e-10
5.8,2.7,5.1,1.9,0.0,0.9998259711476414,0.0001740287790979,-2.060691383872496e-10
6.8,3.2,5.9,2.3,0.0,0.9999999999511336,-5.896579824646713e-12,-2.2510519499029824e-10
6.7,3.3,5.7,2.5,0.0,0.999999999924592,1.9789113756257503e-11,-2.2418579933874728e-10
6.7,3.0,5.2,2.3,0.0,0.9999999997065282,2.3236581839383462e-10,-2.1878390557518331e-10
6.3,2.5,5.0,1.9,0.0,0.9999999972977872,2.632209581551332e-09,-2.0956360092505695e-10
6.5,3.0,5.2,2.0,0.0,0.999999999484813,4.5073582383211646e-10,-2.1547202793551118e-10
6.2,3.4,5.4,2.3,0.0,0.9999999996773958,2.6102540132900665e-10,-2.181275869547281e-10
5.9,3.0,5.1,1.8,0.0,0.9999999918006344,8.125018926359097e-09,-2.0513193870967507e-10
J,inf
F,81.38514380540718
