,sepal_length,sepal_width,petal_length,petal_width,cluster,u0,u1,u2
49,5.0,3.3,1.4,0.2,2,-2.1900932547189697e-10,-1.536590796074792e-10,1.0000000000927878
50,7.0,3.2,4.7,1.4,0,0.9999999982819326,1.6393396344201075e-09,-2.005538571577298e-10
51,6.4,3.2,4.5,1.5,1,2.3667469732212442e-09,0.9999999975395428,-1.8538293441882759e-10
52,6.9,3.1,4.9,1.5,0,0.9999999990311247,8.966854577340161e-10,-2.0739288689510728e-10
53,5.5,2.3,4.0,1.3,1,2.2210303687765027e-11,0.999999999847664,-1.4914003296899027e-10
54,6.5,2.8,4.6,1.5,1,4.371847032061896e-09,0.9999999955426683,-1.936290065472897e-10
55,5.7,2.8,4.5,1.3,1,2.9182087258102543e-10,0.9999999996058833,-1.7713859591929187e-10
56,6.3,3.3,4.7,1.6,1,2.265053022814919e-05,0.9999773493830236,-1.9223736776769982e-10
57,4.9,2.4,3.3,1.0,1,-1.1266847995847411e-10,0.9999999997590965,7.532484004408175e-11
58,6.6,2.9,4.6,1.3,1,4.064260512091667e-09,0.9999999958478277,-1.91106696148543e-10
59,5.2,2.7,3.9,1.4,1,-6.785035496446939e-12,0.9999999998523292,-1.2471097040379026e-10
60,5.0,2.0,3.5,1.0,1,-1.0080033487326463e-10,0.999999999870789,-4.829451155458933e-11
61,5.9,3.0,4.2,1.5,1,2.765622758311244e-10,0.999999999609335,-1.653198353642058e-10
62,6.0,2.2,4.0,1.0,1,5.893300080082028e-11,0.9999999998151268,-1.5323304256735357e-10
63,6.1,2.9,4.7,1.4,1,1.3277512024591844e-09,0.9999999985838594,-1.909077145873643e-10
64,5.6,2.9,3.6,1.3,1,-1.2023319932219376e-11,0.999999999817852,-8.499627260240295e-11
65,6.7,3.1,4.4,1.4,1,2.9327687422679466e-09,0.9999999969725644,-1.8424351186097936e-10
66,5.6,3.0,4.5,1.5,1,3.4699817096949777e-10,0.9999999995508332,-1.771922441774172e-10
67,5.8,2.7,4.1,1.0,1,7.810192988785086e-11,0.9999999997889553,-1.4644700175909976e-10
68,6.2,2.2,4.5,1.5,1,6.144602539005573e-10,0.9999999992987283,-1.923649955314949e-10
69,5.6,2.5,3.9,1.1,1,6.602122668253126e-12,0.9999999998440595,-1.2996450098044474e-10
70,5.9,3.2,4.8,1.8,1,6.108947493953845e-09,0.999999993807078,-1.950677993154327e-10
71,6.1,2.8,4.0,1.3,1,1.691720407976693e-10,0.9999999997046782,-1.532424591661257e-10
72,6.3,2.5,4.9,1.5,1,6.564561718225823e-08,0.9999999342777521,-2.024140700452779e-10
73,6.1,2.8,4.7,1.2,1,8.698581715096653e-10,0.9999999990397812,-1.8893684044748916e-10
74,6.4,2.9,4.3,1.3,1,6.033914484296164e-10,0.9999999992934402,-1.7608941766793263e-10
75,6.6,3.0,4.4,1.4,1,1.7338771718094928e-09,0.999999998171136,-1.8406556983371786e-10
76,6.8,2.8,4.8,1.4,0,0.9999999964272395,3.495908777693903e-09,-2.0257084911378908e-10
77,6.7,3.0,5.0,1.7,0,0.9999999991376073,7.929468580583602e-10,-2.1033710821999965e-10
78,6.0,2.9,4.5,1.5,1,6.485207415978884e-10,0.9999999992557272,-1.836471327767853e-10
79,5.7,2.6,3.5,1.0,1,-4.4978826279911835e-11,0.9999999998275297,-6.15826552763408e-11
80,5.5,2.4,3.8,1.1,1,-2.3112056198643617e-11,0.9999999998615404,-1.1761289370403615e-10
81,5.5,2.4,3.7,1.0,1,-4.254014872904412e-11,0.9999999998611073,-9.765051268201099e-11
82,5.8,2.7,3.9,1.2,1,5.245191380283637e-11,0.9999999998032795,-1.3512220910728793e-10
83,6.0,2.7,5.1,1.6,0,0.997365280324019,0.0026347196012197747,-2.0467654925730172e-10
84,5.4,3.0,4.5,1.5,1,2.527602055470408e-10,0.9999999996421827,-1.7422408227009035e-10
85,6.0,3.4,4.5,1.6,1,1.0610535593577775e-09,0.9999999988397508,-1.799191749626068e-10
86,6.7,3.1,4.7,1.5,0,0.999999993792313,6.126014005664878e-09,-1.9774755214015603e-10
87,6.3,2.3,4.4,1.3,1,4.653442189524198e-10,0.9999999994414045,-1.8596516285356332e-10
88,5.6,3.0,4.1,1.3,1,9.999968397361591e-11,0.9999999997659289,-1.4532086828356437e-10
89,5.5,2.5,4.0,1.3,1,3.098469462851456e-11,0.9999999998345321,-1.4486364777802372e-10
90,5.5,2.6,4.4,1.2,1,1.309973206669978e-10,0.999999999758769,-1.6914931764666322e-10
91,6.1,3.0,4.6,1.4,1,9.96508211012105e-10,0.9999999989104507,-1.8627720445344805e-10
92,5.8,2.6,4.0,1.2,1,7.153309048621233e-11,0.999999999795903,-1.4685520426217944e-10
93,5.0,2.3,3.3,1.0,1,-1.0979432585343133e-10,0.9999999997844422,4.704354614045277e-11
94,5.6,2.7,4.2,1.3,1,1.1039054269403335e-10,0.9999999997692794,-1.5912073434779578e-10
95,5.7,3.0,4.2,1.2,1,1.3964899039524807e-10,0.9999999997336981,-1.527603294973594e-10
96,5.7,2.9,4.2,1.3,1,1.4959646891232392e-10,0.999999999728602,-1.576526700731926e-10
97,6.2,2.9,4.3,1.3,1,4.272098140947964e-10,0.9999999994664603,-1.7304602174984932e-10
98,5.1,2.5,3.0,1.1,1,-1.1824100767383835e-10,0.9999999995651374,2.7498927414242347e-10
99,5.7,2.8,4.1,1.3,1,1.0718804333868214e-10,0.9999999997652904,-1.5193468103292943e-10
100,6.3,3.3,6.0,2.5,0,0.9999999999309702,1.4373593006342182e-11,-2.2493956415961738e-10
101,5.8,2.7,5.1,1.9,0,0.9998259711476414,0.00017402877909797226,-2.0606913838724957e-10
102,7.1,3.0,5.9,2.1,0,0.9999999999608633,-1.5342781542834112e-11,-2.253689839084972e-10
103,6.3,2.9,5.6,1.8,0,0.9999999996202724,3.190206308298425e-10,-2.1918793514268788e-10
104,6.5,3.0,5.8,2.2,0,0.9999999998686653,7.501461650454013e-11,-2.2361795192619285e-10
105,7.6,3.0,6.6,2.1,0,1.0000000000618645,-1.1429093476593517e-10,-2.2642052063466073e-10
106,4.9,2.5,4.5,1.7,1,1.0299104017091475e-10,0.999999999795396,-1.7720673946389314e-10
107,7.3,2.9,6.3,1.8,0,1.0000000000077789,-6.08446738648042e-11,-2.2636665894808052e-10
108,6.7,2.5,5.8,1.8,0,0.9999999998174759,1.260409329002501e-10,-2.2331950049127283e-10
109,7.2,3.6,6.1,2.5,0,1.0000000000293425,-8.226455167977763e-11,-2.2639815074108982e-10
110,6.5,3.2,5.1,2.0,0,0.9999999994153185,5.179945661761473e-10,-2.1316527529833186e-10
111,6.4,2.7,5.3,1.9,0,0.999999999380601,5.557928487495734e-10,-2.1625698763857202e-10
112,6.8,3.0,5.5,2.1,0,0.9999999998239024,1.178576395199631e-10,-2.2177181009924058e-10
113,5.7,2.5,5.0,2.0,1,6.736879314958327e-09,0.9999999931895066,-2.0523567760964725e-10
114,5.8,2.8,5.1,2.4,0,0.9999999981714345,1.7607208423588312e-09,-2.1141923022627532e-10
115,6.4,3.2,5.3,2.3,0,0.9999999996718161,2.664974956455361e-10,-2.1816419529404143e-10
116,6.5,3.0,5.5,1.8,0,0.9999999996598407,2.7901224207615696e-10,-2.1882977511811657e-10
117,7.7,3.8,6.7,2.2,0,1.000000000083556,-1.3539065944998285e-10,-2.263604163297616e-10
118,7.7,2.6,6.9,2.3,0,1.000000000083401,-1.3474033022585064e-10,-2.2678947068926372e-10
119,6.0,2.2,5.0,1.5,1,2.4825026060856427e-09,0.9999999974429645,-2.0440700950072807e-10
120,6.9,3.2,5.7,2.3,0,0.999999999927528,1.6794446981051818e-11,-2.2423274748471383e-10
121,5.6,2.8,4.9,2.0,1,2.5672302937272803e-09,0.9999999973542844,-2.004576048364756e-10
122,7.7,2.8,6.7,2.0,0,1.000000000066571,-1.1876802249904158e-10,-2.263759367369627e-10
123,6.3,2.7,4.9,1.8,0,0.9999999923897367,7.53567027217702e-09,-2.049840732552092e-10
124,6.7,3.3,5.7,2.1,0,0.9999999998814519,6.153037113462683e-11,-2.2293935760540823e-10
125,7.2,3.2,6.0,1.8,0,0.9999999999704742,-2.4830613508089066e-11,-2.253514664207754e-10
126,6.2,2.8,4.8,1.8,1,0.0029607944475575805,0.997039205473684,-2.0033483207457958e-10
127,6.1,3.0,4.9,1.8,0,0.9999992558733338,7.440483440059379e-07,-2.0119280556410062e-10
128,6.4,2.8,5.6,2.1,0,0.9999999997374358,2.03927206766251e-10,-2.2129641480648126e-10
129,7.2,3.0,5.8,1.6,0,0.9999999999114306,3.2695918381022606e-11,-2.2386814152183462e-10
130,7.4,2.8,6.1,1.9,0,0.9999999999960252,-4.9350756794383664e-11,-2.2618295539977685e-10
131,7.9,3.8,6.4,2.0,0,1.0000000000702278,-1.2196540013785244e-10,-2.2658156842283837e-10
132,6.4,2.8,5.6,2.2,0,0.9999999997604262,1.8138972712283964e-10,-2.2172979946694303e-10
133,6.3,2.8,5.1,1.5,0,0.9999999967068997,3.2203276673469596e-09,-2.0684791459056923e-10
134,6.1,2.6,5.6,1.4,0,0.9999999990357548,9.005399788900849e-10,-2.157729681861735e-10
135,7.7,3.0,6.1,2.3,0,1.000000000038468,-9.10948180844979e-11,-2.2654233076273318e-10
136,6.3,3.4,5.6,2.4,0,0.9999999998226766,1.1918129862672451e-10,-2.2158968760159503e-10
137,6.4,3.1,5.5,1.8,0,0.9999999996280076,3.101591219780874e-10,-2.1810820652970195e-10
138,6.0,3.0,4.8,1.8,1,8.975723256990555e-09,0.9999999909425606,-1.9740244466444213e-10
139,6.9,3.1,5.4,2.1,0,0.999999999819866,1.2122882613209067e-10,-2.2107097629429614e-10
140,6.7,3.1,5.6,2.4,0,0.9999999998822441,6.115381471559844e-11,-2.2331651501631805e-10
141,6.9,3.1,5.1,2.3,0,0.9999999997357825,2.0281707858618592e-10,-2.184108079135255e-10
142,5.8,2.7,5.1,1.9,0,0.9998259711476414,0.00017402877909797226,-2.0606913838724957e-10
143,6.8,3.2,5.9,2.3,0,0.9999999999511335,-5.896579824646713e-12,-2.2510519499029824e-10
144,6.7,3.3,5.7,2.5,0,0.9999999999245921,1.9789113756257503e-11,-2.2418579933874728e-10
145,6.7,3.0,5.2,2.3,0,0.9999999997065282,2.3236581839383462e-10,-2.1878390557518334e-10
146,6.3,2.5,5.0,1.9,0,0.9999999972977873,2.632209581551332e-09,-2.0956360092505697e-10
147,6.5,3.0,5.2,2.0,0,0.999999999484813,4.507358238321165e-10,-2.154720279355112e-10
148,6.2,3.4,5.4,2.3,0,0.9999999996773958,2.6102540132900665e-10,-2.1812758695472813e-10
149,5.9,3.0,5.1,1.8,0,0.9999999918006345,8.125018926359097e-09,-2.0513193870967507e-10
J,inf
